Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;19,89;14,25;14,25;19,89;2,50;806,65;2,86;-;0;0;0;да;нет;0
1;Однопроцессный;19,94;0,23;0,23;19,94;1,80;212,28;0,93;-;0;0;0;да;нет;0
2;Мультипроцессный;19,71;0,84;0,84;19,71;4,60;1119,24;4,83;-;0;0;0;да;нет;0
2;Однопроцессный;19,94;0,23;0,23;19,94;2,00;209,23;1,00;-;0;0;0;да;нет;0
3;Мультипроцессный;19,50;0,28;0,28;19,34;3,40;1050,90;6,84;-;0;0;0;да;нет;0
3;Однопроцессный;19,94;0,22;0,22;19,94;1,70;309,41;1,08;-;0;0;0;да;нет;0
4;Мультипроцессный;19,54;0,21;0,21;19,57;4,60;1076,81;8,87;-;0;0;0;да;нет;0
4;Однопроцессный;19,92;0,20;0,20;19,92;2,10;456,74;1,14;-;0;0;0;да;нет;0
