timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T13:37:06,2.047,0.000,504.062,32,1,533.000,21.000
2026-05-22T13:37:08,4.093,0.000,724.270,64,1,533.000,22.000
2026-05-22T13:37:10,6.151,0.000,1034.395,66,2,543.000,27.000
2026-05-22T13:37:12,8.200,0.000,2297.359,84,2,658.000,20.000
2026-05-22T13:37:14,10.257,0.000,870.789,81,2,531.000,13.000
2026-05-22T13:37:16,12.324,0.000,1203.910,102,1,683.000,12.000
2026-05-22T13:37:18,14.394,0.000,4559.168,297,1,1229.000,19.000
2026-05-22T13:37:20,16.482,0.000,5081.277,414,1,1229.000,17.000
2026-05-22T13:37:22,18.572,0.000,5420.258,338,1,1229.000,17.000
2026-05-22T13:37:24,20.646,0.000,5497.461,322,1,1229.000,20.000
2026-05-22T13:37:27,22.720,0.000,5817.469,369,1,1229.000,15.000
2026-05-22T13:37:29,24.829,0.000,5851.316,369,1,1229.000,23.000
2026-05-22T13:37:31,26.934,0.000,5868.641,399,1,1229.000,19.000
2026-05-22T13:37:33,29.024,0.000,7125.043,609,1,1229.000,18.000
2026-05-22T13:37:35,31.133,0.000,7311.961,609,1,1229.000,16.000
2026-05-22T13:37:37,33.243,0.000,7671.695,609,1,1229.000,21.000
2026-05-22T13:37:39,35.361,0.000,8101.281,609,1,1229.000,17.000
2026-05-22T13:37:41,37.445,0.000,8330.184,613,1,1229.000,16.000
2026-05-22T13:37:43,39.555,0.000,8337.879,565,1,1229.000,20.000
2026-05-22T13:37:45,41.652,0.000,8288.805,546,1,1229.000,22.000
2026-05-22T13:37:48,43.705,0.000,8383.898,530,1,1229.000,23.000
2026-05-22T13:37:50,45.768,0.000,8562.172,530,1,1229.000,21.000
2026-05-22T13:37:52,47.833,0.000,9269.902,529,1,1609.000,25.000
2026-05-22T13:37:54,49.891,0.000,10052.473,528,1,1943.000,28.000
2026-05-22T13:37:56,51.958,0.000,9736.734,221,1,1739.000,16.000
2026-05-22T13:37:58,54.018,0.000,9736.906,221,1,1739.000,16.000
2026-05-22T13:38:00,56.071,0.000,9742.922,221,1,1739.000,15.000
2026-05-22T13:38:02,58.126,0.000,9312.270,146,1,1364.000,14.000
