Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;29,75;12,79;12,77;29,79;5,70;794,14;3,00;-;0;0;0;да;нет;0
1;Однопроцессный;29,83;0,23;0,23;29,85;1,90;198,54;0,93;-;0;0;0;да;нет;0
2;Мультипроцессный;29,81;6,54;6,54;29,81;9,80;810,13;4,54;-;0;0;0;да;нет;0
2;Однопроцессный;29,85;0,20;0,20;29,85;9,80;221,31;1,00;-;0;0;0;да;нет;0
3;Мультипроцессный;29,75;4,18;4,18;29,79;6,00;792,28;6,12;-;0;0;0;да;нет;0
3;Однопроцессный;29,87;0,19;0,19;29,87;1,70;372,08;1,06;-;0;0;0;да;нет;0
4;Мультипроцессный;29,77;3,11;3,11;29,77;10,00;812,01;7,62;-;0;0;0;да;нет;0
4;Однопроцессный;29,81;0,17;0,17;29,81;9,80;439,46;1,12;-;0;0;0;да;нет;0
