Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;115,12;51,56;31,40;115,26;7,30;231,26;3,00;56,10;0,82;0;0;0;да;нет;0
1;Однопроцессный;115,15;27,44;22,83;115,28;5,90;189,50;2,38;33,01;0,69;0;0;0;да;нет;0
2;Мультипроцессный;111,63;29,99;21,98;111,59;11,40;311,77;3,04;59,52;0,87;0;0;0;да;нет;0
2;Однопроцессный;114,94;14,54;11,83;114,99;6,10;202,22;2,39;32,93;0,69;0;0;0;да;нет;0
3;Мультипроцессный;114,50;30,56;23,50;114,64;7,50;311,34;3,06;59,76;0,87;0;0;0;да;нет;0
3;Однопроцессный;114,64;8,59;6,90;114,67;6,20;208,37;2,43;32,11;0,74;0;0;0;да;нет;0
4;Мультипроцессный;114,11;22,87;17,00;114,22;8,00;319,91;3,09;61,62;0,87;0;0;0;да;нет;0
4;Однопроцессный;114,33;5,40;4,77;114,44;6,90;230,60;2,44;30,80;0,69;0;0;0;да;нет;0
