Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;29,78;14,33;14,34;29,78;14,60;788,95;3,03;-;0;0;0;да;нет;0
1;Однопроцессный;29,84;0,24;0,24;29,85;34,20;238,04;0,94;-;0;0;0;да;нет;0
2;Мультипроцессный;29,32;0,81;0,81;29,34;5,30;1065,06;5,15;-;0;0;0;да;нет;0
2;Однопроцессный;29,86;0,23;0,23;29,86;34,20;253,93;0,99;-;0;0;0;да;нет;0
3;Мультипроцессный;28,83;0,27;0,27;28,85;33,80;1080,18;7,34;-;0;0;0;да;нет;0
3;Однопроцессный;29,78;0,21;0,21;29,79;8,30;387,75;1,07;-;0;0;0;да;нет;0
4;Мультипроцессный;28,80;0,17;0,17;28,82;10,30;1054,25;9,49;-;0;0;0;да;нет;0
4;Однопроцессный;29,76;0,19;0,19;29,77;34,20;448,74;1,13;-;0;0;0;да;нет;0
