Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;116,75;13,99;7,77;116,90;4,30;2191,61;2,03;33,74;0,40;0;0;0;да;нет;0
1;Однопроцессный;115,95;0,15;0,15;116,09;2,40;238,78;1,33;32,13;0,40;0;0;0;да;нет;0
2;Мультипроцессный;116,04;7,13;4,68;115,95;5,30;2323,39;2,07;33,63;0,40;0;0;0;да;нет;0
2;Однопроцессный;115,70;0,08;0,08;115,66;2,90;210,88;1,35;32,36;0,40;0;0;0;да;нет;0
3;Мультипроцессный;115,93;8,23;6,15;115,99;5,20;2280,47;2,11;31,42;0,40;0;0;0;да;нет;0
3;Однопроцессный;115,46;0,05;0,05;115,42;3,60;216,47;1,37;31,17;0,40;0;0;0;да;нет;0
4;Мультипроцессный;115,62;6,48;4,60;115,59;6,10;2331,17;2,12;31,26;0,40;0;0;0;да;нет;0
4;Однопроцессный;115,24;0,04;0,04;115,22;3,80;277,64;1,40;31,07;0,40;0;0;0;да;нет;0
