Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;-;-;-;29,78;0,10;13,22;0,81;26,42;0,54;0;0;0;да;нет;0
1;Однопроцессный;-;-;-;29,53;0,10;19,60;0,81;25,28;0,54;0;0;0;да;нет;0
2;Мультипроцессный;-;-;-;29,78;0,10;19,83;0,83;27,31;0,54;0;0;0;да;нет;0
2;Однопроцессный;-;-;-;29,78;0,10;28,09;0,83;25,63;0,54;0;0;0;да;нет;0
3;Мультипроцессный;-;-;-;29,78;0,10;36,29;0,84;27,22;0,54;0;0;0;да;нет;0
3;Однопроцессный;-;-;-;29,77;0,10;29,70;0,84;26,76;0,54;0;0;0;да;нет;0
4;Мультипроцессный;-;-;-;29,77;0,20;49,54;0,86;26,81;0,54;0;0;0;да;нет;0
4;Однопроцессный;-;-;-;29,78;0,20;56,09;0,86;26,44;0,54;0;0;0;да;нет;0
