Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;29,17;5,27;5,25;29,23;7,50;946,11;1,50;-;0;0;0;да;нет;0
1;Однопроцессный;29,86;0,23;0,23;29,86;10,40;242,21;0,94;-;0;0;0;да;нет;0
2;Мультипроцессный;29,13;2,54;2,54;29,13;13,60;954,94;1,50;-;0;0;0;да;нет;0
2;Однопроцессный;29,86;0,12;0,12;29,86;34,20;294,88;0,95;-;0;0;0;да;нет;0
3;Мультипроцессный;28,92;1,44;1,44;28,94;15,00;994,95;1,53;-;0;0;0;да;нет;0
3;Однопроцессный;29,86;0,08;0,08;29,86;9,80;241,27;0,96;-;0;0;0;да;нет;0
4;Мультипроцессный;28,98;1,20;1,19;29,01;16,00;893,58;1,54;-;0;0;0;да;нет;0
4;Однопроцессный;29,85;0,06;0,06;29,85;10,00;241,46;0,97;-;0;0;0;да;нет;0
