Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;-;-;-;29,78;0,10;21,58;0,93;27,41;0,54;0;0;0;да;нет;0
1;Однопроцессный;-;-;-;29,81;0,10;17,96;0,83;31,03;0,54;0;0;0;да;нет;0
2;Мультипроцессный;-;-;-;29,78;0,20;41,44;1,05;27,85;0,54;0;0;0;да;нет;0
2;Однопроцессный;-;-;-;29,78;0,10;35,86;0,85;24,65;0,54;0;0;0;да;нет;0
3;Мультипроцессный;-;-;-;29,81;0,20;54,86;1,16;29,95;0,54;0;0;0;да;нет;0
3;Однопроцессный;-;-;-;29,62;0,20;33,08;0,87;27,41;0,54;0;0;0;да;нет;0
4;Мультипроцессный;-;-;-;29,59;0,30;82,97;1,27;29,08;0,54;0;0;0;да;нет;0
4;Однопроцессный;-;-;-;29,81;0,20;47,36;0,87;32,55;0,54;0;0;0;да;нет;0
