Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;116,62;1319,51;-;116,75;1,30;245,19;1,60;26,99;0,40;0;0;0;нет;да;124
1;Однопроцессный;116,18;1290,32;-;116,15;1,20;172,92;0,89;30,49;0,40;0;0;0;да;нет;0
2;Мультипроцессный;116,55;1022,53;-;116,69;1,80;254,32;1,65;28,06;0,40;0;0;0;нет;да;124
2;Однопроцессный;116,25;1277,85;-;116,21;1,40;176,13;0,91;30,55;0,40;0;0;0;да;нет;0
3;Мультипроцессный;116,69;1009,69;-;116,65;2,00;249,93;1,67;28,23;0,40;0;0;0;нет;да;124
3;Однопроцессный;116,18;1120,41;-;116,15;1,70;214,08;0,94;29,43;0,40;0;0;0;да;нет;0
4;Мультипроцессный;116,67;1115,19;-;116,65;1,90;259,76;1,71;27,28;0,51;0;0;0;нет;да;124
4;Однопроцессный;116,18;1027,04;-;116,16;1,90;204,26;0,95;27,45;0,40;0;0;0;да;нет;0
