Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;115,67;50,94;50,93;115,64;3,20;256,91;3,01;27,96;0,65;0;0;0;да;нет;0
1;Однопроцессный;115,11;31,90;25,19;115,24;4,30;189,45;2,37;34,75;0,69;0;0;0;да;нет;0
2;Мультипроцессный;114,97;49,19;49,18;115,04;5,40;436,61;5,19;76,83;0,89;0;0;0;да;нет;0
2;Однопроцессный;112,59;11,25;10,95;112,55;7,00;301,74;2,53;32,40;0,84;0;0;0;да;нет;0
3;Мультипроцессный;114,53;47,15;47,14;114,54;6,10;637,16;7,38;86,74;1,14;0;0;0;да;нет;0
3;Однопроцессный;109,48;6,07;6,03;109,56;9,10;314,86;2,71;28,92;1,00;0;0;0;да;нет;0
4;Мультипроцессный;113,72;47,31;47,31;113,74;7,70;728,31;9,62;80,28;1,38;0;0;0;да;нет;0
4;Однопроцессный;105,44;3,71;3,68;105,53;12,60;324,83;2,88;25,43;1,12;0;0;0;да;нет;0
