Устройство;Сценарий;Схема multiprocessing;Количество камер;Режим;Основная метрика;Основная метрика, кадры/с;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Валидный прогон;Ресурсы в пределах;Можно использовать в отчете
GPU;захват + обнаружение;в отдельном процессе только обнаружение;3;Однопроцессный;Обнаружение, кадры/с;940,68;115,76;940,68;-;115,73;2,00;50,99;1,87;23,09;0,63;0;нет;да;нет
GPU;захват + обнаружение;в отдельном процессе только обнаружение;4;Мультипроцессный;Обнаружение, кадры/с;956,32;116,05;956,32;-;116,03;2,10;65,97;2,32;25,39;0,76;0;нет;да;нет
GPU;захват + обнаружение;в отдельном процессе только обнаружение;4;Однопроцессный;Обнаружение, кадры/с;889,03;115,77;889,03;-;115,75;2,30;51,65;1,88;22,33;0,63;0;нет;да;нет
GPU;полный пайплайн;в отдельном процессе только обнаружение;1;Мультипроцессный;Обнаружение, кадры/с;51,56;115,12;51,56;31,40;115,26;7,30;231,26;3,00;56,10;0,82;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;1;Однопроцессный;Обнаружение, кадры/с;27,44;115,15;27,44;22,83;115,28;5,90;189,50;2,38;33,01;0,69;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;2;Мультипроцессный;Обнаружение, кадры/с;29,99;111,63;29,99;21,98;111,59;11,40;311,77;3,04;59,52;0,87;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;2;Однопроцессный;Обнаружение, кадры/с;14,54;114,94;14,54;11,83;114,99;6,10;202,22;2,39;32,93;0,69;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;3;Мультипроцессный;Обнаружение, кадры/с;30,56;114,50;30,56;23,50;114,64;7,50;311,34;3,06;59,76;0,87;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;3;Однопроцессный;Обнаружение, кадры/с;8,59;114,64;8,59;6,90;114,67;6,20;208,37;2,43;32,11;0,74;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;4;Мультипроцессный;Обнаружение, кадры/с;22,87;114,11;22,87;17,00;114,22;8,00;319,91;3,09;61,62;0,87;0;да;да;да
GPU;полный пайплайн;в отдельном процессе только обнаружение;4;Однопроцессный;Обнаружение, кадры/с;5,40;114,33;5,40;4,77;114,44;6,90;230,60;2,44;30,80;0,69;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;1;Мультипроцессный;Отслеживание, кадры/с;32,17;115,24;51,51;32,17;115,20;4,70;237,70;3,00;57,21;0,82;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;1;Однопроцессный;Отслеживание, кадры/с;25,29;115,06;32,09;25,29;115,02;4,50;198,91;2,37;33,93;0,69;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;2;Мультипроцессный;Отслеживание, кадры/с;21,58;114,56;29,11;21,58;114,55;6,10;289,12;3,04;60,88;0,87;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;2;Однопроцессный;Отслеживание, кадры/с;11,67;114,97;14,16;11,67;115,10;5,20;212,80;2,40;33,16;0,74;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;3;Мультипроцессный;Отслеживание, кадры/с;22,54;114,03;29,79;22,54;113,96;6,80;324,28;3,07;61,01;0,89;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;3;Однопроцессный;Отслеживание, кадры/с;6,71;114,39;8,28;6,71;114,33;4,90;221,35;2,41;30,86;0,69;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;4;Мультипроцессный;Отслеживание, кадры/с;16,71;113,57;22,92;16,71;113,62;6,50;320,95;3,11;59,63;0,98;0;да;да;да
GPU;захват + обнаружение + отслеживание;в отдельном процессе только обнаружение;4;Однопроцессный;Отслеживание, кадры/с;4,68;114,14;5,26;4,68;114,16;5,90;225,32;2,45;30,30;0,74;0;да;да;да
