timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-22T13:09:02,2.061,0.000,506.562,32,1,533.000,24.000
2026-05-22T13:09:04,4.123,0.000,730.832,64,1,533.000,22.000
2026-05-22T13:09:06,6.211,0.000,1904.691,171,25,533.000,31.000
2026-05-22T13:09:08,8.330,0.000,13382.398,358,25,531.000,25.000
2026-05-22T13:09:10,10.494,0.000,14782.277,368,25,543.000,19.000
2026-05-22T13:09:12,12.660,0.000,15946.473,369,25,539.000,21.000
2026-05-22T13:09:15,14.793,0.000,17363.957,371,25,531.000,21.000
2026-05-22T13:09:17,17.592,0.000,19735.188,439,25,888.000,17.000
2026-05-22T13:09:20,19.846,0.000,22364.797,459,25,3300.000,42.000
2026-05-22T13:09:22,21.998,0.000,28578.273,458,25,4298.000,71.000
2026-05-22T13:09:24,24.148,0.000,29110.465,459,25,4534.000,61.000
2026-05-22T13:09:26,26.321,0.000,29347.590,459,25,4534.000,70.000
2026-05-22T13:09:28,28.486,0.000,29470.395,460,25,4534.000,40.000
2026-05-22T13:09:30,30.619,0.000,29413.043,459,25,4534.000,50.000
2026-05-22T13:09:33,32.779,0.000,29370.977,458,25,4534.000,76.000
2026-05-22T13:09:35,34.929,0.000,29475.281,460,25,4534.000,71.000
2026-05-22T13:09:37,37.076,0.000,29449.691,460,25,4534.000,41.000
2026-05-22T13:09:39,39.242,0.000,29616.984,459,25,4534.000,42.000
2026-05-22T13:09:41,41.394,0.000,29604.160,460,25,4534.000,26.000
2026-05-22T13:09:43,43.446,0.000,29231.941,432,25,4534.000,62.000
2026-05-22T13:09:45,45.512,0.000,26618.312,285,22,4534.000,14.000
2026-05-22T13:09:47,47.581,0.000,25060.094,269,20,4534.000,13.000
2026-05-22T13:09:49,49.644,0.000,22757.941,231,17,4534.000,15.000
2026-05-22T13:09:51,51.727,0.000,19778.703,215,16,4289.000,14.000
2026-05-22T13:09:54,53.790,0.000,18372.484,193,14,3798.000,19.000
2026-05-22T13:09:56,55.855,0.000,15556.461,175,12,3248.000,12.000
2026-05-22T13:09:58,57.918,0.000,12748.047,151,10,2680.000,13.000
2026-05-22T13:10:00,59.981,0.000,9933.484,132,8,2094.000,21.000
2026-05-22T13:10:02,62.038,0.000,7125.594,115,6,1603.000,45.000
2026-05-22T13:10:04,64.097,0.000,5721.527,94,5,1358.000,48.000
2026-05-22T13:10:06,66.155,0.000,2921.965,76,3,808.000,22.000
