Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;28,94;4,34;4,34;28,94;18,60;821,90;2,51;-;0;0;0;да;нет;0
1;Однопроцессный;29,86;0,23;0,23;29,86;10,00;187,55;0,94;-;0;0;0;да;нет;0
2;Мультипроцессный;28,96;2,01;2,00;28,72;14,70;957,82;3,53;-;0;0;0;да;нет;0
2;Однопроцессный;29,85;0,12;0,12;29,84;10,00;181,74;1,04;-;0;0;0;да;нет;0
3;Мультипроцессный;28,76;1,09;1,09;28,81;12,80;999,21;4,58;-;0;0;0;да;нет;0
3;Однопроцессный;29,81;0,07;0,07;29,81;10,80;247,21;0,96;-;0;0;0;да;нет;0
4;Мультипроцессный;28,79;0,86;0,86;28,46;13,50;853,35;5,58;-;0;0;0;да;нет;0
4;Однопроцессный;29,82;0,06;0,06;29,82;10,40;263,14;0,98;-;0;0;0;да;нет;0
