slug;capture;mode;run_index;avg_capture_fps;pipeline_hz_est;p95_pipeline_ms;avg_pipeline_ms;detector_fps_est;tracker_fps_est;visual_fps_est;avg_cpu_percent;max_ram_gb;max_gpu_ram_gb;errors;tracebacks;exit_code;timed_out;success
poly-videos_opencv_process;opencv;process;1;;10.186907609177075;188.0;98.16521739130435;34.22619047619048;19.6379781420765;32.28008779238379;0.0;28.8423388671875;4.42578125;0;0;0;False;True
poly-videos_opencv_process;opencv;process;2;;11.983535664044183;149.3;83.44782608695652;41.25560538116593;25.692582663092043;69.84568245180252;0.0;28.86280859375;4.3896484375;0;0;0;False;True
poly-videos_opencv_process;opencv;process;3;;10.210238084188054;158.7;97.94090909090909;29.41963091735758;22.902352696231514;48.98042780419169;0.0;28.89012109375;4.3984375;0;0;0;False;True
poly-videos_opencv_process;opencv;process;4;;11.716760061130923;157.0;85.34782608695652;45.74383452665075;21.716551789255035;30.445734018201026;0.0;28.8358037109375;4.3935546875;0;0;0;False;True
poly-videos_opencv_process;opencv;process;5;;10.229703338603182;142.7;97.75454545454545;32.68945022288262;20.7782395164337;39.36870828378733;0.0;28.8534736328125;4.3935546875;0;0;0;False;True
poly-videos_opencv_thread;opencv;thread;1;;46.728971962616825;41.4;21.4;229.32022932022932;136.852394916911;131.34770042121724;0.0;11.133205078125;1.46484375;4;0;0;False;True
poly-videos_opencv_thread;opencv;thread;2;;28.771064529387584;81.2;34.75714285714286;215.0537634408602;111.42061281337048;101.59193156431785;0.0;11.4030185546875;1.4150390625;2;0;0;False;True
poly-videos_opencv_thread;opencv;thread;3;;33.8368580060423;69.5;29.553571428571423;231.02310231023102;109.54616588419404;159.78950114975058;0.0;11.3507119140625;1.4794921875;4;0;0;False;True
poly-videos_opencv_thread;opencv;thread;4;;26.977550823778788;88.6;37.067857142857136;149.0947816826411;82.96296296296298;77.67147581716134;0.0;11.16276953125;1.4931640625;3;0;0;False;True
poly-videos_opencv_thread;opencv;thread;5;;38.711461357666245;52.6;25.832142857142863;176.7676767676768;125.11170688114389;172.788381484717;0.0;11.2082021484375;1.4677734375;3;0;0;False;True
poly-videos_gst_process;gst;process;1;;12.944694906932106;166.0;77.25172413793103;34.10159924741298;29.000000000000004;55.22522010637868;0.0;31.4597587890625;4.4404296875;0;0;0;False;True
poly-videos_gst_process;gst;process;2;;13.50030259298915;223.8;74.07241379310346;43.12908982748364;26.78488962778239;77.50645942613514;0.0;31.5964013671875;4.455078125;0;0;0;False;True
poly-videos_gst_process;gst;process;3;;15.980823012385141;188.1;62.57499999999999;49.01960784313725;31.531531531531527;71.05194085201076;0.0;31.670666015625;4.443359375;0;0;0;False;True
poly-videos_gst_process;gst;process;4;;15.947146599840528;178.8;62.70714285714286;55.555555555555564;32.618825722273996;76.74646206142101;0.0;31.587890625;4.443359375;0;0;0;False;True
poly-videos_gst_process;gst;process;5;;14.330313731511339;205.2;69.78214285714284;46.558031260392426;29.057700290577007;57.31254351764658;0.0;31.447025390625;4.451171875;0;0;0;False;True
poly-videos_gst_thread;gst;thread;1;;26.437541308658297;47.5;37.824999999999996;164.38356164383563;73.12614259597808;64.91005246455273;0.0;8.9130556640625;1.939453125;0;0;0;False;True
poly-videos_gst_thread;gst;thread;2;;27.039206849932405;59.5;36.98333333333333;187.79342723004694;69.20415224913495;96.28554364789208;0.0;10.8027421875;1.9599609375;0;0;0;False;True
poly-videos_gst_thread;gst;thread;3;;23.26073165574117;75.6;42.99090909090909;105.97302504816956;90.75907590759077;63.89887793644195;0.0;10.7132451171875;1.9755859375;0;0;0;False;True
poly-videos_gst_thread;gst;thread;4;;24.989587671803417;65.7;40.016666666666666;89.28571428571428;101.01010101010101;50.94614871456949;0.0;10.611583984375;1.9482421875;0;0;0;False;True
poly-videos_gst_thread;gst;thread;5;;23.081361800346215;59.6;43.32500000000001;134.52914798206277;71.13218731475992;64.85676327386246;0.0;11.020744140625;1.9716796875;0;0;0;False;True
