timestamp,elapsed_sec,cpu_percent,rss_mb,threads,processes,gpu_ram_mb,gpu_util_percent
2026-05-14T13:31:45,2.048,97.600,582.312,23,1,,
2026-05-14T13:31:47,4.096,97.600,761.281,23,1,,
2026-05-14T13:31:49,6.135,98.200,952.379,167,1,,
2026-05-14T13:31:51,8.161,492.300,956.742,167,1,,
2026-05-14T13:31:53,10.195,98.700,951.430,167,1,,
2026-05-14T13:31:55,12.224,492.900,959.242,168,1,,
2026-05-14T13:31:57,14.257,98.400,963.137,167,1,,
2026-05-14T13:31:59,16.287,197.200,956.793,167,1,,
2026-05-14T13:32:01,18.323,98.100,977.297,167,1,,
2026-05-14T13:32:03,20.348,98.600,969.953,167,1,,
2026-05-14T13:32:05,22.372,98.600,982.293,167,1,,
2026-05-14T13:32:07,24.415,589.800,981.465,167,1,,
2026-05-14T13:32:09,26.449,592.800,988.652,167,1,,
2026-05-14T13:32:11,28.478,691.200,981.469,168,1,,
2026-05-14T13:32:13,30.520,292.400,988.660,169,1,,
2026-05-14T13:32:15,32.545,98.500,982.395,167,1,,
2026-05-14T13:32:17,34.584,590.300,989.582,167,1,,
2026-05-14T13:32:19,36.622,98.400,980.789,167,1,,
2026-05-14T13:32:21,38.650,98.700,990.164,167,1,,
2026-05-14T13:32:23,40.675,196.500,990.160,167,1,,
2026-05-14T13:32:25,42.706,197.200,990.473,167,1,,
2026-05-14T13:32:27,44.751,196.000,990.160,167,1,,
2026-05-14T13:32:30,46.795,195.700,990.473,167,1,,
2026-05-14T13:32:32,48.836,98.000,985.762,167,1,,
2026-05-14T13:32:34,50.875,97.200,991.074,167,1,,
2026-05-14T13:32:36,52.918,196.200,986.059,167,1,,
2026-05-14T13:32:38,54.943,295.000,987.938,167,1,,
2026-05-14T13:32:40,56.985,293.900,986.062,167,1,,
2026-05-14T13:32:42,59.025,294.500,987.938,168,1,,
2026-05-14T13:32:44,61.052,98.400,991.531,167,1,,
2026-05-14T13:32:46,63.077,196.800,985.125,167,1,,
2026-05-14T13:32:48,65.104,98.700,992.129,167,1,,
2026-05-14T13:32:50,67.129,493.700,984.309,141,1,,
2026-05-14T13:32:52,69.168,97.800,978.895,41,1,,
