Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;116,79;13,56;7,74;116,95;3,30;2175,19;2,03;35,10;0,40;0;0;0;да;нет;0
1;Однопроцессный;115,97;0,16;0,16;116,10;2,00;215,10;1,33;31,87;0,40;0;0;0;да;нет;0
2;Мультипроцессный;116,27;7,09;4,67;116,25;4,00;2305,88;2,07;31,48;0,40;0;0;0;да;нет;0
2;Однопроцессный;115,64;0,08;0,08;115,60;2,60;215,34;1,35;33,99;0,40;0;0;0;да;нет;0
3;Мультипроцессный;115,86;8,31;6,09;116,02;5,00;2279,46;2,11;34,09;0,40;0;0;0;да;нет;0
3;Однопроцессный;115,55;0,05;0,05;115,52;3,00;239,41;1,38;30,58;0,40;0;0;0;да;нет;0
4;Мультипроцессный;115,47;6,42;4,62;115,49;5,50;2309,81;2,13;32,89;0,40;0;0;0;да;нет;0
4;Однопроцессный;115,10;0,04;0,04;115,17;3,50;257,66;1,40;31,57;0,40;0;0;0;да;нет;0
