log_file;slug;capture;mode;run_index;pipeline_ticks;pct_det_len0;pct_trk_len0;detectors_in_sum;trackers_out_sum;lag_ratio;mc_batch_in_sum;mc_emitted_sum;drop_events;errors;tracebacks;mp_pending_mean;mp_pending_max;mp_pending_p95;mp_dropped_sum;mp_pending_evict_max
reports/poly_videos_mode_compare/experiments/e2e_fps_matrix/F0/logs/poly-videos_opencv_process_run01.log;poly-videos_opencv_process;opencv;process;1;17;52.94;135.29;1200;575;2.087;21;15;0;0;0;15.65;30;26.0;0;55
reports/poly_videos_mode_compare/experiments/e2e_fps_matrix/F0/logs/poly-videos_opencv_process_run02.log;poly-videos_opencv_process;opencv;process;2;17;47.06;111.76;1239;568;2.181;31;25;0;0;0;15.88;30;29.0;0;62
reports/poly_videos_mode_compare/experiments/e2e_fps_matrix/F0/logs/poly-videos_opencv_process_run03.log;poly-videos_opencv_process;opencv;process;3;17;52.94;135.29;1220;559;2.182;21;10;0;0;0;15.47;30;24.0;0;56
