Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;29,28;5,41;5,43;29,28;5,60;955,74;1,50;-;0;0;0;да;нет;0
1;Однопроцессный;29,86;0,23;0,23;29,86;10,10;196,43;0,94;-;0;0;0;да;нет;0
2;Мультипроцессный;28,84;0,73;0,72;28,87;3,90;1063,82;2,13;-;0;0;0;да;нет;0
2;Однопроцессный;29,87;0,23;0,23;29,87;7,70;251,80;0,99;-;0;0;0;да;нет;0
3;Мультипроцессный;28,46;0,26;0,26;28,47;6,00;1069,34;2,74;-;0;0;0;да;нет;0
3;Однопроцессный;29,83;0,21;0,21;29,83;1,90;322,55;1,08;-;0;0;0;да;нет;0
4;Мультипроцессный;28,25;0,15;0,15;28,28;9,80;1033,39;3,39;-;0;0;0;да;нет;0
4;Однопроцессный;29,78;0,19;0,19;29,81;9,90;472,74;1,13;-;0;0;0;да;нет;0
