Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;-;-;-;29,77;0,20;19,88;0,92;27,05;0,54;0;0;0;да;нет;0
1;Однопроцессный;-;-;-;29,52;0,10;13,22;0,81;27,20;0,54;0;0;0;да;нет;0
2;Мультипроцессный;-;-;-;29,78;0,20;43,12;1,03;26,78;0,54;0;0;0;да;нет;0
2;Однопроцессный;-;-;-;29,78;0,10;24,79;0,83;26,51;0,54;0;0;0;да;нет;0
3;Мультипроцессный;-;-;-;29,70;0,20;69,63;1,14;25,66;0,54;0;0;0;да;нет;0
3;Однопроцессный;-;-;-;29,78;0,20;31,42;0,85;27,17;0,54;0;0;0;да;нет;0
4;Мультипроцессный;-;-;-;29,59;0,20;91,03;1,26;26,12;0,54;0;0;0;да;нет;0
4;Однопроцессный;-;-;-;29,71;0,20;46,21;0,87;26,49;0,54;0;0;0;да;нет;0
