Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU, %;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;116,03;1117,00;-;115,99;1,50;46,47;2,25;24,97;0,72;0;0;0;нет;да;124
1;Однопроцессный;115,78;1155,13;-;115,74;1,40;38,84;1,83;22,97;0,63;0;0;0;нет;да;124
2;Мультипроцессный;116,08;997,56;-;116,04;1,80;60,16;2,28;25,26;0,65;0;0;0;нет;да;124
2;Однопроцессный;115,78;1092,03;-;115,74;1,60;49,30;1,84;23,51;0,63;0;0;0;нет;да;124
3;Мультипроцессный;116,06;957,56;-;116,03;2,10;64,25;2,30;25,21;0,65;0;0;0;нет;да;124
3;Однопроцессный;115,76;940,68;-;115,73;2,00;50,99;1,87;23,09;0,63;0;0;0;нет;да;124
4;Мультипроцессный;116,05;956,32;-;116,03;2,10;65,97;2,32;25,39;0,76;0;0;0;нет;да;124
4;Однопроцессный;115,77;889,03;-;115,75;2,30;51,65;1,88;22,33;0,63;0;0;0;нет;да;124
