slug;capture;mode;run_index;avg_capture_fps;pipeline_hz_est;p95_pipeline_ms;avg_pipeline_ms;detector_fps_est;tracker_fps_est;visual_fps_est;avg_cpu_percent;max_ram_gb;max_gpu_ram_gb;errors;tracebacks;exit_code;timed_out;success
poly-videos_opencv_process;opencv;process;1;;9.129501985666682;200.0;109.535;39.285012767629155;20.376974019358123;51.57316745166288;0.0;28.8823017578125;4.4345703125;0;0;0;False;True
poly-videos_opencv_process;opencv;process;2;;10.032102728731944;176.8;99.67999999999998;35.91309032142216;20.693222969477496;29.08369475479642;0.0;28.8979267578125;4.427734375;0;0;0;False;True
poly-videos_opencv_process;opencv;process;3;;10.169319164081964;174.5;98.33500000000001;33.12355084465054;21.699034392969516;43.201562480138605;0.0;28.93700390625;4.4248046875;0;0;0;False;True
poly-videos_opencv_process;opencv;process;4;;9.720062208398137;171.2;102.87999999999997;28.91426919184618;22.94104152328516;57.441775404055136;0.0;29.0020830078125;4.43359375;0;0;0;False;True
poly-videos_opencv_process;opencv;process;5;;10.234367004400777;202.1;97.71000000000001;46.23208506703653;19.62901167926195;43.02500698798232;0.0;28.9555927734375;4.435546875;0;0;0;False;True
poly-videos_opencv_thread;opencv;thread;1;;36.6732154551408;53.2;27.267857142857142;157.30337078651687;110.19283746556472;77.85982045549916;0.0;11.396060546875;1.4814453125;6;0;0;False;True
poly-videos_opencv_thread;opencv;thread;2;;35.18029903254177;90.5;28.425000000000004;212.76595744680847;109.24697619976592;171.6646930291454;0.0;11.162333984375;1.4912109375;1;0;0;False;True
poly-videos_opencv_thread;opencv;thread;3;;30.286641427798806;101.2;33.017857142857146;149.65259219668624;99.78617248752673;106.0630345386037;0.0;11.131423828125;1.4560546875;5;0;0;False;True
poly-videos_opencv_thread;opencv;thread;4;;33.68218453025382;63.0;29.689285714285713;165.58249556475454;106.62604722010661;98.01400737736175;0.0;11.1598701171875;1.4990234375;7;0;0;False;True
poly-videos_opencv_thread;opencv;thread;5;;26.56546489563567;86.0;37.642857142857146;156.25;89.2857142857143;96.87699920879096;0.0;10.8664892578125;1.5126953125;6;0;0;False;True
poly-videos_gst_process;gst;process;1;;13.70463764938055;187.8;72.968;67.25854183481302;35.693889206167896;69.35846253210627;0.0;31.2112734375;4.48046875;0;0;0;False;True
poly-videos_gst_process;gst;process;2;;13.450594930160369;228.8;74.34615384615387;43.427426089861356;29.223333707991458;62.0702675565493;0.0;31.6261904296875;4.4892578125;0;0;0;False;True
poly-videos_gst_process;gst;process;3;;16.942260775277862;195.9;59.02399999999997;74.16196974191637;39.619651347068135;73.79389868856865;0.0;31.7448349609375;4.4814453125;0;0;0;False;True
poly-videos_gst_process;gst;process;4;;17.166329470909204;172.2;58.253571428571426;50.47773571299804;42.46284501061572;63.17194927516441;0.0;31.3849794921875;4.48046875;0;0;0;False;True
poly-videos_gst_process;gst;process;5;;15.010185483006321;201.4;66.6214285714286;63.91234877881762;30.77937781686271;75.97420874909008;0.0;31.286796875;4.494140625;0;0;0;False;True
poly-videos_gst_thread;gst;thread;1;;20.12747400201275;133.2;49.68333333333333;105.63380281690141;53.38078291814947;73.14956233580013;0.0;9.8168681640625;1.8974609375;0;0;-6;False;False
poly-videos_gst_thread;gst;thread;2;;23.547880690737834;100.5;42.46666666666667;144.92753623188403;92.5925925925926;74.98721603052051;0.0;10.3423994140625;1.9111328125;0;0;0;False;True
poly-videos_gst_thread;gst;thread;3;;20.25931928687196;146.1;49.36;90.25270758122744;71.12375533428165;59.76813969624952;0.0;10.32374609375;1.9267578125;0;0;0;False;True
poly-videos_gst_thread;gst;thread;4;;26.443367122080208;106.6;37.81666666666667;130.71895424836603;118.81188118811882;161.14717581965303;0.0;10.5677373046875;1.9287109375;0;0;0;False;True
poly-videos_gst_thread;gst;thread;5;;21.710811984368213;127.3;46.06;42.9553264604811;104.82180293501047;85.96187229120603;0.0;9.4312783203125;1.7548828125;0;0;0;False;True
