Количество камер;Режим;Захват, кадры/с;Обнаружение, кадры/с;Отслеживание, кадры/с;Визуализация, кадры/с;p95 цикла, мс;CPU, %;RAM, ГБ;GPU-RAM, ГБ;Ошибки;Traceback;Перезапуски;Валидный прогон;Таймаут;Код выхода
1;Мультипроцессный;-;1666,67;3333,33;769,23;1,00;0,00;4,52;-;0;0;0;нет;нет;-7
1;Однопроцессный;9,98;0,49;0,49;9,98;3,10;0,00;1,03;-;0;0;0;да;нет;0
2;Мультипроцессный;0,00;0,04;0,04;0,00;2,10;0,00;7,29;-;0;0;0;да;нет;0
2;Однопроцессный;9,96;0,44;0,44;9,96;2,70;0,00;1,19;-;0;0;0;да;нет;0
3;Мультипроцессный;0,00;0,00;0,00;0,00;6,80;0,00;10,83;-;0;0;0;нет;нет;-7
3;Однопроцессный;9,91;0,37;0,35;9,91;9,40;0,00;1,36;-;0;0;0;да;нет;0
4;Мультипроцессный;0,00;0,00;0,00;0,00;5,20;0,00;13,41;-;0;0;0;да;нет;0
4;Однопроцессный;9,86;0,29;0,29;9,86;8,10;0,00;1,53;-;0;0;0;да;нет;0
